contest_id	school_id	date	home_name	away_name	source	url
106cd136-f975-4909-a6bb-b86ed9f8b449	tx-argyle-liberty-christian	2026-08-21	Liberty Christian	Midland Christian	texanlive	https://www.texanlive.com/video/6a846568c1f4717cda760b7a
1f4cef3f-73a3-4720-8c2f-29f678a0478d	tx-houston-jersey-village	2026-08-27	Klein	Jersey Village	texanlive	https://www.texanlive.com/video/6a8600deea04d0d73744a63b
bd471de4-8b76-4d54-8132-6b3970f5b79d	tx-montgomery-montgomery	2026-08-27	New Caney	Montgomery	texanlive	https://www.texanlive.com/video/6a8dbea3c2f6538093916942
cf2cae0c-9991-46c9-bf6d-506e41eb9606	tx-tomball-tomball	2026-08-27	Tomball	Houston Stratford	texanlive	https://www.texanlive.com/video/6a8600dd8c84e300e3d119a2
dea13740-dbd4-41b8-8399-85a1dd4032e1	tx-beaumont-beaumont-west-brook	2026-08-27	Nederland	Beaumont West Brook	texanlive	https://www.texanlive.com/video/6a8600e453ec9c250028c72d
f6a2364d-d203-4b11-820e-802439737d76	tx-humble-kingwood	2026-08-27	Clear Creek	Kingwood	texanlive	https://www.texanlive.com/video/6a8600e17ba902fa9344a5ca
03ed8fc2-079a-42cf-88f5-dd6bc3d7fdc4	tx-justin-justin-northwest	2026-08-28	Marcus	Justin Northwest	texanlive	https://www.texanlive.com/video/6a860100cd645288df337402
0759780b-1f4e-468a-b10b-b7d98577c4d4	tx-richardson-richardson	2026-08-28	Wylie East	Richardson	texanlive	https://www.texanlive.com/video/6a8601018c84e300e3d119a9
1a6a9527-cfb7-4f36-a6e2-842b23fa0fa7	tx-fort-worth-north-crowley	2026-08-28	North Crowley	Aledo	texanlive	https://www.texanlive.com/video/6a8600fc7ba902fa9344a5ec
25dce191-00de-4abd-9a46-21df0ab70f24	tx-denton-denton-guyer	2026-08-28	Denton Guyer	Rockwall-Heath	texanlive	https://www.texanlive.com/video/6a8600ffeab690b7a85195b9
25dce191-00de-4abd-9a46-21df0ab70f24	tx-denton-denton-guyer	2026-08-28	Denton Guyer	Rockwall-Heath	nfhs	https://www.nfhsnetwork.com/events/guyer-high-school-denton-tx/gam8450b2c2df
30a03098-30ca-4445-9f7b-bafda3a79d40	tx-missouri-city-fort-bend-ridge-point	2026-08-28	Dickinson	Fort Bend Ridge Point	texanlive	https://www.texanlive.com/video/6a8600f6473de60f2f521ba7
3c1d3b2a-d311-4449-b531-1da6089e9c23	tx-coppell-coppell	2026-08-28	Coppell	Hebron	texanlive	https://www.texanlive.com/video/6a8601032448abe449d119cf
