fr_school_id	maxpreps_url	school_id	method	games_count
al-florence-florence	https://www.maxpreps.com/al/florence/florence-falcons/football/schedule/	4d313808-ec6c-40fc-803f-cfd983fa0b10	search	10
al-gadsden-gadsden-city	https://www.maxpreps.com/al/gadsden/gadsden-city-titans/football/schedule/	4d96ba46-91c2-44fa-b4b8-1f5b447fa9ef	search	10
al-huntsville-huntsville	https://www.maxpreps.com/al/huntsville/huntsville-panthers/football/schedule/	97bde0ed-a4ab-482f-8b13-0658a15767a5	search	10
al-jasper-jasper	https://www.maxpreps.com/al/jasper/jasper-vikings/football/schedule/	09c9a1a4-14b9-43d4-88c9-2a99f593cd00	search	10
al-loachapoka-loachapoka	https://www.maxpreps.com/al/loachapoka/loachapoka-indians/football/schedule/	2d62b4e2-1413-4610-a3d4-75790e9af17c	search	10
al-orange-beach-orange-beach	https://www.maxpreps.com/al/orange-beach/orange-beach-makos/football/schedule/	97554587-b752-458f-a874-0e8f572eaba9	search	10
al-pelham-pelham	https://www.maxpreps.com/al/pelham/pelham-panthers/football/schedule/	1bcb1cf3-26dd-4fad-bf75-b3510a22100f	search	10
al-spanish-fort-spanish-fort	https://www.maxpreps.com/al/spanish-fort/spanish-fort-toros/football/schedule/	029e1da5-5c5c-4f86-b679-5bb690bde0cb	search	10
al-wetumpka-wetumpka	https://www.maxpreps.com/al/wetumpka/wetumpka-indians/football/schedule/	d3ddadf3-9608-4616-9493-e1be2963c538	search	10
ar-north-little-rock-north-little-rock	https://www.maxpreps.com/ar/north-little-rock/north-little-rock-charging-wildcats/football/schedule/	6c1ff40f-6309-44b7-a7fc-77965825d04b	search	10
az-chandler-chandler	https://www.maxpreps.com/az/chandler/chandler-wolves/football/schedule/	f7f28f64-f921-47ae-a443-b8ae1016df79	crosswalk	10
ca-victorville-victor-valley	https://www.maxpreps.com/ca/victorville/victor-valley-jackrabbits/football/schedule/	c61e59ba-af73-4a50-8086-5412459972a6	crosswalk	10
co-windsor-windsor	https://www.maxpreps.com/co/windsor/windsor-wizards/football/schedule/	abc06c1a-757c-4e63-8271-7f6698536ebd	search	10
fl-miramar-miramar	https://www.maxpreps.com/fl/miramar/miramar-patriots/football/schedule/	454ca78f-6b9e-4871-a208-10b9d98ff6b9	search	10
ga-calhoun-calhoun	https://www.maxpreps.com/ga/calhoun/calhoun-yellow-jackets/football/schedule/	b91cf08a-e0ab-43ac-b886-a3f118096927	search	10
ga-dallas-east-paulding	https://www.maxpreps.com/ga/dallas/east-paulding-raiders/football/schedule/	9befd2e4-d768-41fe-b9dd-86a7ec55c9db	crosswalk	10
ga-dalton-dalton	https://www.maxpreps.com/ga/dalton/dalton-catamounts/football/schedule/	240ee5cd-1e04-4406-8099-54a0829f57a3	search	10
ga-lagrange-lagrange	https://www.maxpreps.com/ga/lagrange/lagrange-grangers/football/schedule/	16e17221-c5df-4bf5-b60d-fde574f4bcec	crosswalk	10
ia-madrid-madrid	https://www.maxpreps.com/ia/madrid/madrid-tigers/football/schedule/	a34d18b3-0392-4b6e-9a4a-9b618142907d	search	10
ia-pella-pella	https://www.maxpreps.com/ia/pella/pella-little-dutch/football/schedule/	3e7aa1f5-11b5-4d9f-9574-0240340ad372	crosswalk	10
il-carbondale-carbondale	https://www.maxpreps.com/il/carbondale/carbondale-terriers/football/schedule/	99ab42d7-0efa-4754-8046-a2fd99fa54f2	search	10
in-noblesville-noblesville	https://www.maxpreps.com/in/noblesville/noblesville-millers/football/schedule/	c0538976-ccbc-4ae3-b94c-0884a2ee9298	crosswalk	10
