fr_school_id	maxpreps_url	games_count
fl-boca-raton-west-boca-raton	https://www.maxpreps.com/fl/boca-raton/west-boca-raton-bulls/football/schedule/	14
fl-daytona-beach-mainland	https://www.maxpreps.com/fl/daytona-beach/mainland-buccaneers/football/schedule/	10
fl-fort-lauderdale-dillard	https://www.maxpreps.com/fl/fort-lauderdale/dillard-panthers/football/schedule/	7
fl-fort-pierce-fort-pierce-westwood	https://www.maxpreps.com/fl/fort-pierce/westwood-panthers/football/schedule/	11
fl-fort-pierce-vero-beach	https://www.maxpreps.com/fl/vero-beach/vero-beach-fighting-indians/football/schedule/	11
fl-jacksonville-bolles-school	https://www.maxpreps.com/fl/jacksonville/bolles-bulldogs/football/schedule/	11
fl-jacksonville-ed-white	https://www.maxpreps.com/fl/jacksonville/ed-white-commanders/football/schedule/	11
fl-lake-minneola-first-academy	https://www.maxpreps.com/fl/orlando/the-first-academy-royals/football/schedule/	11
fl-lakeland-lakeland	https://www.maxpreps.com/fl/lakeland/lakeland-dreadnaughts/football/schedule/	11
fl-miami-columbus	https://www.maxpreps.com/fl/miami/columbus-explorers/football/schedule/	12
fl-miami-miami-carol-city	https://www.maxpreps.com/fl/miami/carol-city-chiefs/football/schedule/	12
fl-miami-miami-central	https://www.maxpreps.com/fl/miami/central-rockets/football/schedule/	11
fl-miami-miami-killian	https://www.maxpreps.com/fl/miami/killian-cougars/football/schedule/	13
fl-miami-miami-norland	https://www.maxpreps.com/fl/miami/norland-vikings/football/schedule/	10
fl-miami-miami-palmetto	https://www.maxpreps.com/fl/miami/palmetto-panthers/football/schedule/	10
fl-miramar-saint-thomas-aquinas	https://www.maxpreps.com/fl/fort-lauderdale/st-thomas-aquinas-raiders/football/schedule/	13
fl-naples-community-school-of-naples	https://www.maxpreps.com/fl/naples/community-school-of-naples-seahawks/football/schedule/	11
fl-orlando-first-academy	https://www.maxpreps.com/fl/orlando/the-first-academy-royals/football/schedule/	11
fl-orlando-jones	https://www.maxpreps.com/fl/orlando/jones-tigers/football/schedule/	12
fl-pembroke-pines-chaminade-madonna	https://www.maxpreps.com/fl/hollywood/chaminade-madonna-lions/football/schedule/	10
fl-saint-petersburg-gibbs	https://www.maxpreps.com/fl/st-petersburg/gibbs-gladiators/football/schedule/	19
fl-saint-petersburg-northside-christian	https://www.maxpreps.com/fl/st-petersburg/northside-christian-mustangs/football/schedule/	12
fl-tallahassee-tallahassee-lincoln	https://www.maxpreps.com/fl/tallahassee/lincoln-trojans/football/schedule/	12
fl-tampa-armwood	https://www.maxpreps.com/fl/seffner/armwood-hawks/football/schedule/	12
fl-tampa-tampa-jesuit	https://www.maxpreps.com/fl/tampa/jesuit-tigers/football/schedule/	14
fl-villages-villages-charter	https://www.maxpreps.com/fl/the-villages/the-villages-charter-buffalo/football/schedule/	11
ga-atlanta-creekside	https://www.maxpreps.com/ga/fairburn/creekside-seminoles/football/schedule/	10
ga-atlanta-douglas-county	https://www.maxpreps.com/ga/douglasville/douglas-county-tigers/football/schedule/	12
ga-bogart-prince-avenue-christian-school	https://www.maxpreps.com/ga/athens/prince-avenue-christian-wolverines/football/schedule/	10
ga-college-park-woodward-academy	https://www.maxpreps.com/ga/college-park/woodward-academy-war-eagles/football/schedule/	11
ga-dublin-west-laurens	https://www.maxpreps.com/ga/dexter/west-laurens-raiders/football/schedule/	10
ga-fairburn-langston-hughes	https://www.maxpreps.com/ga/fairburn/langston-hughes-panthers/football/schedule/	12
ga-gainesville-gainesville	https://www.maxpreps.com/ga/gainesville/gainesville-red-elephants/football/schedule/	12
ga-grayson-grayson	https://www.maxpreps.com/ga/loganville/grayson-rams/football/schedule/	11
ga-lithonia-lithonia	https://www.maxpreps.com/ga/lithonia/lithonia-bulldogs/football/schedule/	10
ga-macon-houston-county	https://www.maxpreps.com/ga/warner-robins/houston-county-bears/football/schedule/	10
ga-rabun-gap-rabun-gap-nacoochee	https://www.maxpreps.com/ga/rabun-gap/rabun-gap-nacoochee-eagles/football/schedule/	13
ga-roswell-blessed-trinity	https://www.maxpreps.com/ga/roswell/blessed-trinity-titans/football/schedule/	10
ga-roswell-blessed-trinity-catholic	https://www.maxpreps.com/ga/roswell/blessed-trinity-titans/football/schedule/	10
ga-warner-robins-houston-county	https://www.maxpreps.com/ga/warner-robins/houston-county-bears/football/schedule/	10
hi-honolulu-saint-louis	https://www.maxpreps.com/hi/honolulu/st-louis-crusaders/football/schedule/	9
hi-honolulu-saint-louis-school	https://www.maxpreps.com/hi/honolulu/st-louis-crusaders/football/schedule/	9
hi-kailua-kailua	https://www.maxpreps.com/hi/kailua/kailua-surfriders/football/schedule/	9
hi-kealakekua-konawaena	https://www.maxpreps.com/hi/kealakekua/konawaena-wildcats/football/schedule/	9
hi-wahiawa-leilehua	https://www.maxpreps.com/hi/wahiawa/leilehua-mighty-mules/football/schedule/	8
ia-cedar-rapids-cedar-rapids-prairie	https://www.maxpreps.com/ia/cedar-rapids/prairie-fighting-hawks/football/schedule/	9
id-fruitland-fruitland	https://www.maxpreps.com/id/fruitland/fruitland-grizzlies/football/schedule/	9
id-kimberly-kimberly	https://www.maxpreps.com/id/kimberly/kimberly-bulldogs/football/schedule/	9
id-nampa-columbia	https://www.maxpreps.com/id/nampa/columbia-wildcats/football/schedule/	10
il-chicago-kenwood-academy	https://www.maxpreps.com/il/chicago/kenwood-broncos/football/schedule/	9
il-chicago-mount-carmel	https://www.maxpreps.com/il/chicago/chicago-mt-carmel-caravan/football/schedule/	10
il-chicago-saint-patrick	https://www.maxpreps.com/il/chicago/st-patrick-shamrocks/football/schedule/	9
il-east-saint-louis-east-saint-louis	https://www.maxpreps.com/il/east-st-louis/east-st-louis-flyers/football/schedule/	9
il-evergreen-park-saint-laurence	https://www.maxpreps.com/il/burbank/st-laurence-vikings/football/schedule/	9
il-hinsdale-hinsdale-central	https://www.maxpreps.com/il/hinsdale/hinsdale-central-red-devils/football/schedule/	9
il-lombard-montini-catholic	https://www.maxpreps.com/il/lombard/montini-catholic-broncos/football/schedule/	10
il-mundelein-carmel-catholic	https://www.maxpreps.com/il/mundelein/carmel-corsairs/football/schedule/	9
il-oak-lawn-brother-rice	https://www.maxpreps.com/il/chicago/brother-rice-crusaders/football/schedule/	9
il-saint-joseph-saint-joseph-ogden	https://www.maxpreps.com/il/st-joseph/st-joseph-ogden-spartans/football/schedule/	9
